1,16.72
2,16.92
3,15.36
4,16.09
5,15.55
6,15.55
7,14.85
8,16.97
9,15.58
10,14.98
11,15.79
12,16.62
13,18.69
14,19.49
15,19.98
16,21.27
17,21.39
18,20.17
19,18.49
20,11.54
21,28.14
22,27.38
23,28.59
24,28.71
25,30.74
26,27.49
27,26.89
28,25.27
29,26.91
30,27.88
31,26.50
32,11.19
33,20.70
34,19.59
35,20.52
36,21.68
37,24.12
38,26.00
39,26.61
40,22.02
41,21.28
42,16.19
43,9.16
44,18.54
45,19.17
46,18.73
47,18.44
48,19.16
49,20.90
50,20.57
51,20.70
52,19.05
53,20.42
54,18.88
55,20.14
56,18.72
57,22.58
58,14.39
59,17.39
60,18.45
61,17.12
62,15.11
63,13.74
64,12.13
65,11.64
66,12.94
67,10.77
68,17.04
69,17.24
70,19.99
71,19.00
72,19.02
73,20.16
74,13.76
75,15.22
76,12.24
77,15.16
78,12.57
79,15.27
80,13.28
81,18.52
82,19.21
83,19.61
84,17.69
85,14.99
86,13.96
87,14.02
88,12.53
89,12.92
90,11.73
91,10.17
92,10.63
93,8.84
94,12.36
95,14.82
96,15.38
97,17.18
98,18.64
99,19.59
100,18.42
101,22.25
102,19.69
103,21.42
104,21.97
105,19.45
106,20.84
107,23.11
108,21.93
109,20.38
110,21.24
111,21.30
112,28.54
113,24.77
114,27.06
115,25.73
116,28.02
117,31.70
118,34.53
119,29.68
120,33.40
121,29.50
122,31.29
123,30.19
124,95.30
125,95.70
126,103.06
127,105.39
128,157.03
129,170.20
130,199.10
131,209.09
132,217.06
133,215.17
134,200.35
135,210.36
136,207.10
137,208.05
138,209.33
139,202.41
140,212.43
141,215.59
142,180.87
143,182.60
144,200.03
145,205.23
146,191.43
147,192.86
148,153.10
149,160.95
150,164.28
151,162.98
152,133.09
153,135.34
154,94.26
155,93.56
156,96.19
157,123.27
158,124.02
159,126.29
160,125.69
161,119.32
162,122.96
163,125.31
164,128.03
165,123.84
166,121.73
167,173.20
168,177.54
169,175.62
170,214.89
171,215.36
172,214.90
173,210.97
174,210.06
175,209.85
176,214.63
177,217.64
178,213.26
179,211.93
180,25.44
181,33.89
182,32.74
183,36.97
184,36.35
185,26.13
186,33.10
187,31.11
188,19.93
189,15.65
190,10.11
191,6.59
192,7.81
193,2.22
194,6.52
195,5.48
196,5.45
197,12.04
198,10.99
199,16.55
200,18.26
201,32.45
202,31.46
203,31.98
204,37.95
205,34.16
206,23.56
207,24.50
208,9.19
209,7.51
210,8.26
211,5.15
212,8.50
213,8.25
214,12.66
215,11.27
216,13.01
217,16.64
218,19.18
219,17.00
220,15.42
221,18.65
222,16.89
223,15.20
224,7.25
225,7.18
226,11.05
227,14.01
228,10.96
229,23.05
230,20.45
231,21.32
232,18.05
233,16.52
234,15.00
235,26.98
236,24.68
237,24.48
238,29.43
239,27.36
240,28.15
241,31.26
242,23.53
243,25.33
244,25.91
245,23.85
246,23.91
247,24.65
248,26.07
249,29.04
250,28.10
251,30.29
252,24.64
253,20.93
254,19.66
255,18.28
256,19.64
257,17.20
258,13.31
259,10.14
260,11.23
261,11.60
262,5.90
263,2.96
264,5.06
265,10.46
266,10.68
267,8.14
268,9.98
269,10.83
270,12.70
271,17.27
272,16.64
273,18.01
274,16.01
275,26.81
276,32.33
277,32.12
278,28.85
279,30.94
280,20.45
281,23.43
282,24.63
283,24.25
284,24.79
285,26.49
286,25.06
287,25.76
288,20.49
289,21.42
290,15.73
291,10.59
292,21.33
293,27.38
294,40.26
295,36.58
296,36.80
297,39.09
298,22.82
299,26.05
300,25.82
301,26.41
302,23.72
303,24.96
304,28.17
305,26.97
306,28.19
307,27.74
308,28.59
309,28.05
310,28.31
311,27.97
312,29.90
313,30.35
314,29.46
315,25.74
316,31.59
317,30.75
318,32.24
319,26.90
320,30.44
321,29.42
322,29.86
323,31.04
324,35.19
325,14.40
326,14.90
327,25.38
328,25.76
329,23.29
330,21.09
331,17.95
332,23.66
333,34.32
334,35.65
335,39.79
336,41.06
337,39.95
338,40.39
339,42.74
340,43.94
341,36.31
342,36.46
343,35.43
344,39.10
345,30.59
346,36.45
347,39.89
348,26.38
349,34.93
350,42.02
351,36.03
352,35.10
353,36.08
354,39.99
355,40.93
356,40.45
357,19.98
358,22.29
359,15.55
360,15.27
361,14.39
362,25.53
363,28.22
364,23.43
365,15.43
366,16.49
367,20.40
368,18.54
369,26.08
370,27.36
371,26.23
372,24.75
373,31.48
374,32.48
375,30.23
376,25.37
377,20.03
378,30.87
379,23.80
380,25.97
381,23.49
382,7.70
383,20.14
384,30.37
385,21.97
386,20.66
387,19.86
388,21.35
389,22.41
390,24.26
391,17.07
392,16.64
393,20.01
394,21.72
395,22.61
396,13.25
397,19.54
398,22.21
399,17.34
400,8.16
401,8.46
402,8.79
403,14.04
404,11.85
405,16.42
406,17.14
407,12.70
408,18.58
409,11.50
410,13.43
411,14.79
412,16.47
413,18.06
414,26.07
415,22.07
416,17.09
417,23.46
418,25.43
419,41.88
420,77.20
421,72.88
422,81.69
423,90.47
424,67.75
425,65.69
426,64.02
427,79.28
428,79.26
429,55.86
430,57.87
431,65.73
432,35.42
433,47.22
434,42.56
435,34.07
436,27.85
437,19.27
438,44.86
439,26.93
440,31.21
441,36.98
